observed_at	2026-09-21 12:34:54.639
order	{"id": "bffaae5c-d7d6-4b62-ba5d-f2405aaeea13", "plan": "plus", "status": "CLOSED", "created": "2026-08-19 08:30:38.336000", "attempts": 0, "consumed": 0, "finished": "2026-08-19 17:37:31.665000", "publicNo": "PJV1-m2wZr2ETzmiI8fTGfAT9", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "f9bbe7c6-4dc5-467b-a3f5-ffd0e574a327", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-08-21 03:35:03.710000", "attempts": 1, "consumed": 0, "finished": null, "publicNo": "PJV1-bCv-NWwyhLEdU9FwxxVH", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "REJECTED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": null, "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "f271ec93-08f1-45ab-b10b-769f076f6f1c", "plan": "plus", "status": "CLOSED", "created": "2026-08-22 15:57:25.187000", "attempts": 0, "consumed": 0, "finished": "2026-08-28 04:33:32.951000", "publicNo": "PJV1-4cK-yDhExDQbnpr8403G", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "9bfa14cf-aabe-4e28-a15f-77ee72d1b0fa", "plan": "plus", "status": "RECHARGE_SUCCESS", "created": "2026-08-27 06:57:52.455000", "attempts": 1, "consumed": 1, "finished": "2026-08-27 07:52:11.652000", "publicNo": "PJV1-FqFnMiSKBtLGN14GyP7W", "cancelled": 1, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "SUCCESS:SETTLED", "hadSuccess": true, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": null, "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "7e1f6748-d91b-4b09-a6cb-0a2da654b269", "plan": "plus", "status": "RECHARGE_SUCCESS", "created": "2026-08-29 05:28:09.319000", "attempts": 1, "consumed": 1, "finished": "2026-08-29 05:51:57.719000", "publicNo": "PJV1-uVsqgepiEHu3tfpQKQq-", "cancelled": 1, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "SUCCESS:SETTLED", "hadSuccess": true, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": null, "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "403528ca-9a99-4fde-86a5-6d2e6e6694d9", "plan": "plus", "status": "CLOSED", "created": "2026-08-30 08:44:28.239000", "attempts": 0, "consumed": 0, "finished": "2026-08-30 08:48:44.403000", "publicNo": "PJV1-TZmbNEpYNd0Gs_YgRKF_", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": null, "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "6f1d3424-3273-4d02-92d0-e6abe5899d2a", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-08-31 03:53:23.978000", "attempts": 1, "consumed": 0, "finished": "2026-08-31 04:43:06.225000", "publicNo": "PJV1-0RcrjBEOL6senGnzqW7e", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "RECHARGE_SUBMIT_REJECTED", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "221f4bb1-6f0f-4152-b54b-02cb98410751", "plan": "plus", "status": "CLOSED", "created": "2026-08-31 14:04:23.810000", "attempts": 1, "consumed": 0, "finished": "2026-09-01 02:59:13.382000", "publicNo": "PJV1-HfAEiq8dBpDLXzt4t96e", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "2e56062a-3696-4d66-87f9-d9615be29532", "plan": "plus", "status": "CLOSED", "created": "2026-09-01 04:45:37.504000", "attempts": 1, "consumed": 0, "finished": "2026-09-01 05:22:30.102000", "publicNo": "PJV1-zqelgAB9K9TsiMdtq_Ox", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "CLEARED:CLEARED", "hadSuccess": false, "heldLedger": 0, "openAlerts": 0, "activeFunds": 0, "failureCode": "CANCELLED_PRE_SUBMISSION", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
order	{"id": "e399a499-d88a-4805-a151-62ad4b85c094", "plan": "plus", "status": "RECHARGE_FAILED", "created": "2026-09-01 06:01:42.907000", "attempts": 1, "consumed": 0, "finished": "2026-09-01 06:02:48.744000", "publicNo": "PJV1-412JIT_yfiuBpZeC39_m", "cancelled": null, "cdkStatus": "REDEEMED", "openCases": 0, "runStates": null, "submitOps": 0, "fundStates": "FAILED:CLEARED", "hadSuccess": false, "heldLedger": 1, "openAlerts": 0, "activeFunds": 0, "failureCode": "PROVIDER_CONFIRMED_FAILURE", "cdkPointsHere": true, "activeAssignments": 0, "cancellationReview": 0}
