observed_at	2026-09-21 16:30:15.748
renewal_summary	{"success": 7, "missingConsumed": 1, "pendingRenewalReview": 7, "cancellationCheckedNull": 7, "subscriptionCancelledNull": 7}
renewal_order	{"email": "18***@qq.com", "ledger": "CONSUMED:16.000000:7402", "status": "RECHARGE_SUCCESS", "publicNo": "PJV1-VHl_hgWctg78JwDajOVR", "runCount": 0, "finishedAt": "2026-09-09 15:24:14.386000", "attemptCount": 0, "paymentSubmitOps": 0, "manualCloseEvents": 1, "linkedTransactions": "PURCHASE:COMPLETE:15.750000:USD", "cancellationCheckedAt": null, "subscriptionCancelled": null, "manualCancellationEvents": 0, "cancellationConfirmedRuns": 0, "cancellationReviewRequired": 1, "unconfirmedCancellationAlerts": 0}
renewal_order	{"email": "sh***@gmail.com", "ledger": "RELEASED:16.000000:7402", "status": "RECHARGE_SUCCESS", "publicNo": "PJV1-DqcnqHF0tPlxDhygTtAA", "runCount": 0, "finishedAt": "2026-09-11 02:36:33.771000", "attemptCount": 0, "paymentSubmitOps": 0, "manualCloseEvents": 1, "linkedTransactions": null, "cancellationCheckedAt": null, "subscriptionCancelled": null, "manualCancellationEvents": 0, "cancellationConfirmedRuns": 0, "cancellationReviewRequired": 1, "unconfirmedCancellationAlerts": 0}
renewal_order	{"email": "qi***@gmail.com", "ledger": "CONSUMED:16.000000:3159", "status": "RECHARGE_SUCCESS", "publicNo": "PJV1-pom5NfWiskFl9u4Aspdm", "runCount": 3, "finishedAt": "2026-09-13 09:51:14.190000", "attemptCount": 3, "paymentSubmitOps": 0, "manualCloseEvents": 1, "linkedTransactions": "PURCHASE:COMPLETE:15.750000:USD", "cancellationCheckedAt": null, "subscriptionCancelled": null, "manualCancellationEvents": 0, "cancellationConfirmedRuns": 0, "cancellationReviewRequired": 1, "unconfirmedCancellationAlerts": 0}
renewal_order	{"email": "81***@qq.com", "ledger": "CONSUMED:16.000000:5371", "status": "RECHARGE_SUCCESS", "publicNo": "PJV1-NnL3DWl9sCCHWsT2krMy", "runCount": 1, "finishedAt": "2026-09-13 10:07:01.150000", "attemptCount": 1, "paymentSubmitOps": 0, "manualCloseEvents": 1, "linkedTransactions": "PURCHASE:COMPLETE:15.750000:USD", "cancellationCheckedAt": null, "subscriptionCancelled": null, "manualCancellationEvents": 0, "cancellationConfirmedRuns": 0, "cancellationReviewRequired": 1, "unconfirmedCancellationAlerts": 0}
renewal_order	{"email": "ch***@gmail.com", "ledger": "CONSUMED:16.000000:5371", "status": "RECHARGE_SUCCESS", "publicNo": "PJV1-BUGAhkA9dYVdLiD6WQac", "runCount": 1, "finishedAt": "2026-09-13 14:23:25.624000", "attemptCount": 1, "paymentSubmitOps": 0, "manualCloseEvents": 1, "linkedTransactions": "PURCHASE:COMPLETE:15.750000:USD", "cancellationCheckedAt": null, "subscriptionCancelled": null, "manualCancellationEvents": 0, "cancellationConfirmedRuns": 0, "cancellationReviewRequired": 1, "unconfirmedCancellationAlerts": 0}
renewal_order	{"email": "w1***@gmail.com", "ledger": "CONSUMED:16.000000:1657", "status": "RECHARGE_SUCCESS", "publicNo": "PJV1-G3Ni4WrwJERVUOg5tl3x", "runCount": 1, "finishedAt": "2026-09-13 23:20:36.340000", "attemptCount": 1, "paymentSubmitOps": 0, "manualCloseEvents": 1, "linkedTransactions": "PURCHASE:COMPLETE:15.750000:USD", "cancellationCheckedAt": null, "subscriptionCancelled": null, "manualCancellationEvents": 0, "cancellationConfirmedRuns": 0, "cancellationReviewRequired": 1, "unconfirmedCancellationAlerts": 0}
renewal_order	{"email": "17***@qq.com", "ledger": "CONSUMED:16.000000:1657", "status": "RECHARGE_SUCCESS", "publicNo": "PJV1-zdprG5vkLzo7UKs8XEe1", "runCount": 1, "finishedAt": "2026-09-14 02:12:42.444000", "attemptCount": 1, "paymentSubmitOps": 0, "manualCloseEvents": 1, "linkedTransactions": "PURCHASE:COMPLETE:15.750000:USD", "cancellationCheckedAt": null, "subscriptionCancelled": null, "manualCancellationEvents": 0, "cancellationConfirmedRuns": 0, "cancellationReviewRequired": 1, "unconfirmedCancellationAlerts": 0}
renewal_run	{"publicNo": "PJV1-pom5NfWiskFl9u4Aspdm", "createdAt": "2026-09-13 09:32:18.819000", "fundsRisk": "CLEARED", "runStatus": "FAILED_SAFE", "finishedAt": "2026-09-13 09:32:47.699000", "paymentState": "NOT_STARTED", "attemptStatus": "CLEARED", "lastErrorCode": "SESSION_INVALID", "lastCheckpoint": "PRE_PAYMENT_ABORT", "paymentSubmitOps": 0, "postPaymentState": "NOT_STARTED", "verificationState": "NOT_REQUIRED"}
renewal_run	{"publicNo": "PJV1-pom5NfWiskFl9u4Aspdm", "createdAt": "2026-09-13 09:37:12.921000", "fundsRisk": "CLEARED", "runStatus": "FAILED_SAFE", "finishedAt": "2026-09-13 09:37:34.942000", "paymentState": "NOT_STARTED", "attemptStatus": "CLEARED", "lastErrorCode": "SESSION_INVALID", "lastCheckpoint": "PRE_PAYMENT_ABORT", "paymentSubmitOps": 0, "postPaymentState": "NOT_STARTED", "verificationState": "NOT_REQUIRED"}
renewal_run	{"publicNo": "PJV1-pom5NfWiskFl9u4Aspdm", "createdAt": "2026-09-13 09:41:28.729000", "fundsRisk": "CLEARED", "runStatus": "FAILED_SAFE", "finishedAt": "2026-09-13 09:41:49.972000", "paymentState": "NOT_STARTED", "attemptStatus": "CLEARED", "lastErrorCode": "SESSION_INVALID", "lastCheckpoint": "PRE_PAYMENT_ABORT", "paymentSubmitOps": 0, "postPaymentState": "NOT_STARTED", "verificationState": "NOT_REQUIRED"}
renewal_run	{"publicNo": "PJV1-NnL3DWl9sCCHWsT2krMy", "createdAt": "2026-09-13 10:02:52.080000", "fundsRisk": "CLEARED", "runStatus": "FAILED_SAFE", "finishedAt": "2026-09-13 10:04:18.356000", "paymentState": "PAYMENT_ARMED", "attemptStatus": "CLEARED", "lastErrorCode": "CHECKOUT_DRIFT", "lastCheckpoint": "PRE_PAYMENT_ABORT", "paymentSubmitOps": 0, "postPaymentState": "NOT_STARTED", "verificationState": "NOT_REQUIRED"}
renewal_run	{"publicNo": "PJV1-BUGAhkA9dYVdLiD6WQac", "createdAt": "2026-09-13 13:15:10.373000", "fundsRisk": "CLEARED", "runStatus": "FAILED_SAFE", "finishedAt": "2026-09-13 13:15:44.139000", "paymentState": "NOT_STARTED", "attemptStatus": "CLEARED", "lastErrorCode": "ACCOUNT_STATUS_UNKNOWN", "lastCheckpoint": "PRE_PAYMENT_ABORT", "paymentSubmitOps": 0, "postPaymentState": "NOT_STARTED", "verificationState": "NOT_REQUIRED"}
renewal_run	{"publicNo": "PJV1-G3Ni4WrwJERVUOg5tl3x", "createdAt": "2026-09-13 17:09:31.134000", "fundsRisk": "CLEARED", "runStatus": "FAILED_SAFE", "finishedAt": "2026-09-13 17:11:36.789000", "paymentState": "PAYMENT_ARMED", "attemptStatus": "CLEARED", "lastErrorCode": "CHECKOUT_DRIFT", "lastCheckpoint": "PRE_PAYMENT_ABORT", "paymentSubmitOps": 0, "postPaymentState": "NOT_STARTED", "verificationState": "NOT_REQUIRED"}
renewal_run	{"publicNo": "PJV1-zdprG5vkLzo7UKs8XEe1", "createdAt": "2026-09-14 02:03:31.246000", "fundsRisk": "CLEARED", "runStatus": "FAILED_SAFE", "finishedAt": "2026-09-14 02:05:27.241000", "paymentState": "PAYMENT_ARMED", "attemptStatus": "CLEARED", "lastErrorCode": "CHECKOUT_DRIFT", "lastCheckpoint": "PRE_PAYMENT_ABORT", "paymentSubmitOps": 0, "postPaymentState": "NOT_STARTED", "verificationState": "NOT_REQUIRED"}
renewal_close_event	{"at": "2026-09-09 15:24:14.389000", "actorId": "close-manually-fulfilled", "eventId": 336, "cardUsed": false, "publicNo": "PJV1-VHl_hgWctg78JwDajOVR", "toStatus": "RECHARGE_SUCCESS", "cardLast4": "7402", "fromStatus": "CARD_READY", "ledgerStatus": "RELEASED"}
renewal_close_event	{"at": "2026-09-11 02:36:33.777000", "actorId": "close-manually-fulfilled", "eventId": 346, "cardUsed": false, "publicNo": "PJV1-DqcnqHF0tPlxDhygTtAA", "toStatus": "RECHARGE_SUCCESS", "cardLast4": "7402", "fromStatus": "CARD_READY", "ledgerStatus": "RELEASED"}
renewal_close_event	{"at": "2026-09-13 09:51:14.714000", "actorId": "close-manually-fulfilled", "eventId": 484, "cardUsed": true, "publicNo": "PJV1-pom5NfWiskFl9u4Aspdm", "toStatus": "RECHARGE_SUCCESS", "cardLast4": "3159", "fromStatus": "WAITING_FOR_SESSION", "ledgerStatus": "null"}
renewal_close_event	{"at": "2026-09-13 10:07:01.375000", "actorId": "close-manually-fulfilled", "eventId": 501, "cardUsed": false, "publicNo": "PJV1-NnL3DWl9sCCHWsT2krMy", "toStatus": "RECHARGE_SUCCESS", "cardLast4": "5371", "fromStatus": "RECHARGE_FAILED", "ledgerStatus": "null"}
